source,chunk_id,content
Arch_3Views.wikitext,0,"Description

 It will serve to generate flat, shape-based views from a Mesh based object, to be used by the Arch Equipment tool.

Usage 

 Select a Mesh object.
 Select the  button, or Arch → Utilities → 3Views from the top menu.

 Scripting 

 Arch API and FreeCAD Scripting Basics.

This tool can be used in macros and from the Python console by using the following function:
```start_code
shape = createMeshView(obj, direction=FreeCAD.Vector(0, 0, -1), outeronly=False, largestonly=False)
end_code```
Creates a flat  that is the projection of the given mesh object () in the given .
 If  is  only the outer contour is taken into consideration, discarding the inner holes.
 If  is  only the largest segment of the given mesh will be used.

Use  to display the resulting flat shape.

Example:"
Arch_3Views.wikitext,1,"```start_code
import FreeCAD, Draft, Arch, Mesh, MeshPart

Line = Draft.makeWire([FreeCAD.Vector(0, 0, 0), FreeCAD.Vector(2000, 2000, 0)])
Wall = Arch.makeWall(Line, width=150, height=3000)
FreeCAD.ActiveDocument.recompute()

Shape = Wall.Shape.copy(False)
Shape.Placement = Wall.getGlobalPlacement()

mesh_obj = FreeCAD.ActiveDocument.addObject(""Mesh::Feature"", ""Mesh"")
mesh_obj.Mesh = MeshPart.meshFromShape(Shape=Shape, MaxLength=520)
mesh_obj.ViewObject.DisplayMode = ""Flat Lines""
FreeCAD.ActiveDocument.recompute()

XAxis = FreeCAD.Vector(1, 0, 0)
YAxis = FreeCAD.Vector(0, 1, 0)
ZAxis = FreeCAD.Vector(0, 0, -1)

s1 = Arch.createMeshView(mesh_obj, ZAxis)
s2 = Arch.createMeshView(mesh_obj, XAxis)
s3 = Arch.createMeshView(mesh_obj, YAxis)

Part.show(s1)
Part.show(s2)
Part.show(s3)

Wall.ViewObject.Visibility = False
mesh_obj.ViewObject.Visibility = False
end_code```"
Macro_Circle.wikitext,0,"Description

This small macro create a circle or arc giving radius, diameter, circumference, area, startangle, end angle, arc, angle center, cord, arrow, center (point), placemObject on choice. The new circle is created in the real coordinate of object, not in the coordinate of the Body..

The circle is still facing the screen (with getCameraOrientation) (or give the placement) 

Usage

Copy the code and paste it in the console Python the FreeCAD the command is used all the time to the disposal FreeCAD open
give the parameter on choice :"
Macro_Circle.wikitext,1,"Usage

Copy the code and paste it in the console Python the FreeCAD the command is used all the time to the disposal FreeCAD open
give the parameter on choice : 

 x y z : coordinates of circle if not coordinates the circle is created on point 0,0,0
radius : radius of circle
diameter : diameter of circle
circumference : circumference of circle
area : area of circle
startangle : start angle for arc
endangle : end angle for arc
arc and anglecenter : arc in combination with anglecenter
 arc =  length of arc
 anglecenter = angle of center circle to extremities of arc 
cord and arrow : cord in combination with arrow of circle
 cord : length of cord of circle 
 arrow : length of arrow of circle 
center : if center as different 0 one point is created on center of circle
placemObject  
 example :
     pl=FreeCAD.Placement()
     pl.Rotation.Q=(0.0,-0.0,-0.0,1.0)
     pl.Base=FreeCAD.Vector(-1.89847898483,-0.490152746439,0.0)
     give placemObject = pl"
Macro_Circle.wikitext,2,"if there is no parameter ""circle()"" a list of functions is displayed in the report view

Script

ToolBar Icon 

Macro_circle.FCMacro

Memo of circle

Examples codes
```start_code
circle(radius=10)    # example 1
circle(x=15,diameter=20)    # example 2
circle(y=45,circumference=100)    # example 3
end_code```
```start_code
circle(y=-15,area=100)    # example 4
circle(y=-15,x=15,startangle=60,endangle=-20,center=1)    # example 5
circle(y=-15,x=45,cord=9,arrow=3,center=1)    # example 6 left
circle(x=65,y=-15,arc=3.5,anglecenter=40,startangle=20,center=1)    # example 6 rigth
end_code```
Version

ver 0.4 19/06/2019 : upgrade ver 0.19

ver 0.3 10/06/2018 : replace /2 to /2.0 (float)

ver 0.2 24/02/2015 : adding function ""placemObject"""
Reinforcement_BarShapeCutList.wikitext,0,"Description

The Reinforcement BarShapeCutList tool allows the user to create the rebar shape cut list of reinforcing bars.

This tool is part of the Reinforcement Workbench, an external workbench that can be installed with the  Addon Manager.

Usage

1. Select Arch Rebar and Rebar2 objects you want to include in Rebar Shape Cut List. Or select Arch Structure objects to include Arch Rebar and Rebar2 objects hosted by those into Rebar Shape Cut List. If nothing is selected, then Rebar Shape Cut List will be generated for all Arch Rebar and Rebar2 objects present in the model.

2. Then select Rebar Shape Cut List from the rebar tools.

3. A dialog box will pop-out on the screen as shown below.

 
 

4. Modify data to suit your requirements.

5. Click OK or Apply to generate Rebar Shape Cut List for rebars.

6. Click Cancel to exit the dialog box.

Properties

General:"
Reinforcement_BarShapeCutList.wikitext,1,"4. Modify data to suit your requirements.

5. Click OK or Apply to generate Rebar Shape Cut List for rebars.

6. Click Cancel to exit the dialog box.

Properties

General:

 : The offset of extended end edges of the stirrup, so that end edges of the stirrup with a 90-degree bent angle do not overlap with stirrup edges.
 : The stroke-width of rebars in the rebar shape cut list.
 : The color style of rebars.
 : The height of each row of rebar shape in the rebar shape cut list.
 : The width of each column of rebar shape in the rebar shape cut list.
 : The number of columns in the rebar shape cut list.
 : The padding on each side of the rebar shape.
 : If True, then the rebar shape will be made horizontal by rotating the max length edge of the rebar shape.
 : If it is set to True, then rebar.Mark will be included for each rebar shape in the rebar shape cut list.
 : The output file to write generated rebar shape cut list SVG.

Dimension Data:"
Reinforcement_BarShapeCutList.wikitext,2,"Dimension Data:

 : If True, then each rebar edge dimensions and bent angle dimensions will be included in the rebar shape cut list.
 : If it is True, then rebar edge length units will be shown in dimension label.
 : The units to be used for rebar edge length dimensions.
 : The number of decimals that should be shown for rebar edge length as a dimension label.
 : The font-family of dimension text.
 : The font-size of dimension text.
 : The list of bent angles to not include their dimensions.
 : The format of the helical rebar dimension label. e.g. ""%L,r=%R,pitch=%P"" where %L -> Length of helical rebar, %R -> Helix radius of helical rebar, %P -> Helix pitch of helical rebar.

Scripting

 Arch API, Reinforcement API and FreeCAD Scripting Basics.

The Reinforcement BarShapeCutList tool can be used in macros and from the Python console by using the following function:

 Create Rebar Shape SVG"
Reinforcement_BarShapeCutList.wikitext,3,"```start_code
getRebarShapeSVG(
    rebar,
    view_direction: Union[FreeCAD.Vector, WorkingPlane.Plane] = FreeCAD.Vector(0, 0, 0),
    include_mark: bool = True,
    stirrup_extended_edge_offset: float = 2,
    rebar_stroke_width: float = 0.35,
    rebar_color_style: str = ""shape color"",
    include_dimensions: bool = True,
    rebar_dimension_units: str = ""mm"",
    rebar_length_dimension_precision: int = 0,
    include_units_in_dimension_label: bool = False,
    bent_angle_dimension_exclude_list: Tuple[float, ...] = (45, 90, 180),
    dimension_font_family: str = ""DejaVu Sans"",
    dimension_font_size: float = 2,
    helical_rebar_dimension_label_format: str = ""%L,r=%R,pitch=%P"",
    scale: float = 1,
    max_height: float = 0,
    max_width: float = 0,
    side_padding: float = 1,
    horizontal_shape: bool = False,
) -> ElementTree.Element
end_code```"
Reinforcement_BarShapeCutList.wikitext,4,"Generates and returns a rebar shape SVG element for the given  object.
  object can be of type <ArchRebar._Rebar> or <rebar2.BaseRebar>, to generate its shape svg.
  specifies the viewpoint direction for rebar shape. It can be of type  or  though  is preferred.
  specifies if rebar.Mark is to be included in rebar shape SVG or not.
  is the offset of extended end edges of the stirrup, so that end edges of the stirrup with a 90-degree bent angle do not overlap with stirrup edges.
  specifies the stroke-width of rebar in svg.
  specifies the color style of rebar. It can be ""shape color"" or ""color_name or hex_value_of_color"". ""shape color"" means to select the color of the rebar shape.
  specifies if each rebar edge dimensions and bent angle dimensions are to be included in rebar shape SVG.
  specifies the units to be used for rebar length dimensions.
  specifies the number of decimals that should be shown for rebar length as a dimension label. Set it to None to use user preferred unit precision from FreeCAD unit preferences.
  specifies if rebar length units is to be shown in dimension label.
  specifies the list of bent angles to not include their dimensions.
  specifies the font-family of dimension text.
  specifies the font-size of dimension text.
  specifies the format of helical rebar dimension label. E.g. ""%L,r=%R,pitch=%P"" where:
    %L -> Length of helical rebar
    %R -> Helix radius of helical rebar
    %P -> Helix pitch of helical rebar
  specifies the scale value to scale rebar SVG. The scale parameter helps to scale down rebar_stroke_width and dimension_font_size to make them resolution-independent. If max_height or max_width is set to a non-zero value, then the scale parameter will be ignored.
  specifies the maximum height of rebar shape SVG. Set it to 0 to have rebar shape SVG height based on the scale parameter.
  specifies the maximum width of rebar shape SVG. Set it to 0 to have rebar shape SVG width based on the scale parameter.
  specifies the padding on each side of the rebar shape.
  specifies if the rebar shape is to be made horizontal by rotating the max length edge of the rebar shape."
